mode,n,L,budget,best_action,p_eff,uplift,cost,k,pt_nb,ENB,targeted,spend,ROIx
multi,200,350.0,0.0,SMS,0.4,0.25,0.05,0.0,34.95,0.0,0,0.0,inf
multi,200,350.0,250.0,SMS,0.4,0.25,0.05,1.0,34.95,6990.000000000001,200,10.0,700.0000000000001
multi,200,350.0,500.0,SMS,0.4,0.25,0.05,1.0,34.95,6990.000000000001,200,10.0,700.0000000000001
multi,200,350.0,750.0,Call,0.5,0.45,6.0,0.625,72.75,9093.75,125,750.0,13.125
multi,200,350.0,1000.0,Call,0.5,0.45,6.0,0.8333333333333334,72.75,12125.000000000002,167,1002.0,13.100798403193615
multi,200,350.0,1250.0,Call,0.5,0.45,6.0,1.0,72.75,14550.0,200,1200.0,13.125
multi,200,350.0,1500.0,Call,0.5,0.45,6.0,1.0,72.75,14550.0,200,1200.0,13.125
multi,200,350.0,1750.0,Call,0.5,0.45,6.0,1.0,72.75,14550.0,200,1200.0,13.125
multi,200,350.0,2000.0,Televisit,0.5,0.6,12.0,0.8333333333333334,93.0,15500.000000000002,167,2004.0,8.734530938123752
multi,200,350.0,2250.0,Televisit,0.5,0.6,12.0,0.9375,93.0,17437.5,188,2256.0,8.72938829787234
multi,200,350.0,2500.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,2750.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,3000.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,3250.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,3500.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,3750.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
multi,200,350.0,4000.0,Televisit,0.5,0.6,12.0,1.0,93.0,18600.0,200,2400.0,8.75
